scenario_id,destination,data_grade,approved,purpose,role,device_trust,source_object_id,content_json,expected_baseline,expected_proposed,mode,experiment_run_id,run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,1,C01-r001,200,allow,allow,true,15.837800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,2,C01-r002,200,allow,allow,true,8.072100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,3,C01-r003,200,allow,allow,true,6.198300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,4,C01-r004,200,allow,allow,true,6.103900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,5,C01-r005,200,allow,allow,true,8.746300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,6,C01-r006,200,allow,allow,true,6.282400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,7,C01-r007,200,allow,allow,true,5.497400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,8,C01-r008,200,allow,allow,true,6.809300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,9,C01-r009,200,allow,allow,true,5.639200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,10,C01-r010,200,allow,allow,true,8.095500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,11,C01-r011,200,allow,allow,true,5.452900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,12,C01-r012,200,allow,allow,true,6.187100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,13,C01-r013,200,allow,allow,true,7.656100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,14,C01-r014,200,allow,allow,true,5.402500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,15,C01-r015,200,allow,allow,true,7.552700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,16,C01-r016,200,allow,allow,true,6.027000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,17,C01-r017,200,allow,allow,true,6.262900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,18,C01-r018,200,allow,allow,true,6.466900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,19,C01-r019,200,allow,allow,true,5.532200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,20,C01-r020,200,allow,allow,true,6.461700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,21,C01-r021,200,allow,allow,true,6.501700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,22,C01-r022,200,allow,allow,true,5.863000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,23,C01-r023,200,allow,allow,true,7.385000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T043229Z,24,C01-r024,200,allow,allow,true,5.896100,
